2024-08-12 01:44:01,068 INFO    MainThread:46735 [wandb_run.py:_config_callback():1343] config_cb None None {'XN_activation': True, 'alpha_dim': 'sc', 'beta_dim': 'vc', 'data_norm': 'rw', 'dataset': 'texas', 'epoch': 200, 'hidden_dim': 128, 'm2_mlp': False, 'method': 'rk4', 'reaction_term': 'aggdiff-gat', 'self_loop_weight': 1, 'step_size': 0.30000000000000004, 'time': 2.47, 'use_mlp': True}
2024-08-12 01:44:01,071 INFO    MainThread:46735 [wandb_init.py:init():720] updated telemetry
2024-08-12 01:44:01,073 INFO    MainThread:46735 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-08-12 01:44:02,297 INFO    MainThread:46735 [wandb_run.py:_on_init():2262] communicating current version
2024-08-12 01:44:07,300 INFO    MainThread:46735 [wandb_run.py:_on_init():2271] got version response 
2024-08-12 01:44:07,300 INFO    MainThread:46735 [wandb_init.py:init():804] starting run threads in backend
2024-08-12 01:44:11,191 INFO    MainThread:46735 [wandb_run.py:_console_start():2241] atexit reg
2024-08-12 01:44:11,192 INFO    MainThread:46735 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-08-12 01:44:11,192 INFO    MainThread:46735 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-08-12 01:44:11,192 INFO    MainThread:46735 [wandb_run.py:_redirect():2186] Redirects installed.
2024-08-12 01:44:11,193 INFO    MainThread:46735 [wandb_init.py:init():847] run started, returning control to user process
