Epoch: 23, Runtime: 0.2878, Loss: 1.547, forward nfe 585, backward nfe 0, tmp_train: 0.4400, tmp_val: 0.6600, tmp_test: 0.6265, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 24, Runtime: 0.4127, Loss: 1.562, forward nfe 611, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.2800, tmp_test: 0.2892, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 25, Runtime: 0.3124, Loss: 1.563, forward nfe 637, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.2000, tmp_test: 0.2289, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 26, Runtime: 0.2937, Loss: 1.505, forward nfe 663, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.3400, tmp_test: 0.3614, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 27, Runtime: 0.2898, Loss: 1.495, forward nfe 689, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.4400, tmp_test: 0.4819, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 28, Runtime: 0.4148, Loss: 1.552, forward nfe 715, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.4400, tmp_test: 0.4940, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 29, Runtime: 0.2936, Loss: 1.517, forward nfe 741, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.6600, tmp_test: 0.6145, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 30, Runtime: 0.2813, Loss: 1.534, forward nfe 767, backward nfe 0, tmp_train: 0.5200, tmp_val: 0.6400, tmp_test: 0.6386, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 31, Runtime: 0.2699, Loss: 1.610, forward nfe 793, backward nfe 0, tmp_train: 0.4400, tmp_val: 0.6800, tmp_test: 0.6265, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 32, Runtime: 0.3164, Loss: 1.639, forward nfe 819, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 33, Runtime: 0.3516, Loss: 1.519, forward nfe 845, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 34, Runtime: 0.3371, Loss: 1.521, forward nfe 871, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
