Epoch: 22, Runtime: 0.0861, Loss: 0.167, forward nfe 344, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7848, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 23, Runtime: 0.0581, Loss: 0.232, forward nfe 360, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7736, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 24, Runtime: 0.0907, Loss: 0.114, forward nfe 376, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7676, tmp_test: 0.7574, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 25, Runtime: 0.0953, Loss: 0.218, forward nfe 392, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7574, tmp_test: 0.7472, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 26, Runtime: 0.1115, Loss: 0.221, forward nfe 408, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7654, tmp_test: 0.7553, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 27, Runtime: 0.0669, Loss: 0.220, forward nfe 424, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7777, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 28, Runtime: 0.0936, Loss: 0.184, forward nfe 440, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7878, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 29, Runtime: 0.0536, Loss: 0.205, forward nfe 456, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7878, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 30, Runtime: 0.0942, Loss: 0.180, forward nfe 472, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7817, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 31, Runtime: 0.0660, Loss: 0.251, forward nfe 488, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.8010, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 32, Runtime: 0.0899, Loss: 0.180, forward nfe 504, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7853, tmp_test: 0.7919, Train: 0.9786, Val: 0.7912, Test: 0.7959, Best time: 2.2400
Epoch: 33, Runtime: 0.0636, Loss: 0.190, forward nfe 520, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7934, tmp_test: 0.7919, Train: 0.9929, Val: 0.7934, Test: 0.7919, Best time: 2.2400
