Epoch: 19, Runtime: 0.0934, Loss: 1.505, forward nfe 333, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 20, Runtime: 0.1739, Loss: 2.118, forward nfe 351, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.1800, tmp_test: 0.2289, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 21, Runtime: 0.0949, Loss: 1.673, forward nfe 369, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 22, Runtime: 0.0842, Loss: 1.827, forward nfe 387, backward nfe 0, tmp_train: 0.2400, tmp_val: 0.1000, tmp_test: 0.1928, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 23, Runtime: 0.1476, Loss: 1.664, forward nfe 405, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 24, Runtime: 0.1156, Loss: 1.677, forward nfe 423, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 25, Runtime: 0.1050, Loss: 1.794, forward nfe 441, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 26, Runtime: 0.1552, Loss: 1.739, forward nfe 459, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 27, Runtime: 0.1080, Loss: 1.539, forward nfe 477, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 28, Runtime: 0.1505, Loss: 1.774, forward nfe 495, backward nfe 0, tmp_train: 0.2000, tmp_val: 0.1000, tmp_test: 0.2048, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 29, Runtime: 0.1040, Loss: 1.639, forward nfe 513, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 30, Runtime: 0.1004, Loss: 1.549, forward nfe 531, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 31, Runtime: 0.1314, Loss: 1.648, forward nfe 549, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 32, Runtime: 0.1630, Loss: 1.575, forward nfe 567, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 33, Runtime: 0.0836, Loss: 1.868, forward nfe 585, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 34, Runtime: 0.1058, Loss: 1.565, forward nfe 603, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 35, Runtime: 0.1376, Loss: 1.706, forward nfe 621, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 36, Runtime: 0.1506, Loss: 1.561, forward nfe 639, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 37, Runtime: 0.1425, Loss: 1.688, forward nfe 657, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 38, Runtime: 0.0934, Loss: 1.821, forward nfe 675, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 39, Runtime: 0.1126, Loss: 1.776, forward nfe 693, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 40, Runtime: 0.1864, Loss: 1.492, forward nfe 711, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 41, Runtime: 0.0860, Loss: 1.535, forward nfe 729, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 42, Runtime: 0.0938, Loss: 1.676, forward nfe 747, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.1200, tmp_test: 0.2048, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.1400
Epoch: 43, Runtime: 0.1864, Loss: 1.617, forward nfe 765, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7600, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 44, Runtime: 0.0879, Loss: 1.486, forward nfe 783, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 45, Runtime: 0.0812, Loss: 1.661, forward nfe 801, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.6800, tmp_test: 0.5422, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 46, Runtime: 0.1542, Loss: 1.672, forward nfe 819, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 47, Runtime: 0.1375, Loss: 1.724, forward nfe 837, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 48, Runtime: 0.1519, Loss: 1.567, forward nfe 855, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.1800, tmp_test: 0.1928, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 49, Runtime: 0.0742, Loss: 1.832, forward nfe 873, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 50, Runtime: 0.0838, Loss: 1.726, forward nfe 891, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 51, Runtime: 0.1740, Loss: 1.626, forward nfe 909, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 52, Runtime: 0.1026, Loss: 1.827, forward nfe 927, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 53, Runtime: 0.0859, Loss: 1.573, forward nfe 945, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 54, Runtime: 0.1587, Loss: 1.809, forward nfe 963, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1000, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 55, Runtime: 0.1049, Loss: 1.616, forward nfe 981, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 56, Runtime: 0.0940, Loss: 1.620, forward nfe 999, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 57, Runtime: 0.1183, Loss: 1.934, forward nfe 1017, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7200, tmp_test: 0.5542, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 58, Runtime: 0.1454, Loss: 1.623, forward nfe 1035, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 59, Runtime: 0.1008, Loss: 1.654, forward nfe 1053, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.7000, tmp_test: 0.5060, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 60, Runtime: 0.1555, Loss: 1.776, forward nfe 1071, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 61, Runtime: 0.0786, Loss: 1.790, forward nfe 1089, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 62, Runtime: 0.0834, Loss: 1.689, forward nfe 1107, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.2800, tmp_test: 0.3012, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 63, Runtime: 0.1886, Loss: 1.684, forward nfe 1125, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 64, Runtime: 0.0991, Loss: 1.639, forward nfe 1143, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 65, Runtime: 0.0775, Loss: 1.682, forward nfe 1161, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 66, Runtime: 0.1153, Loss: 1.690, forward nfe 1179, backward nfe 0, tmp_train: 0.2000, tmp_val: 0.1600, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 67, Runtime: 0.1863, Loss: 1.556, forward nfe 1197, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
