Epoch: 22, Runtime: 0.0438, Loss: 0.301, forward nfe 473, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7346, tmp_test: 0.7371, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 23, Runtime: 0.0474, Loss: 0.304, forward nfe 495, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7596, tmp_test: 0.7452, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 24, Runtime: 0.0491, Loss: 0.334, forward nfe 517, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7566, tmp_test: 0.7442, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 25, Runtime: 0.0671, Loss: 0.319, forward nfe 539, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7353, tmp_test: 0.7472, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 26, Runtime: 0.0532, Loss: 0.510, forward nfe 561, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7279, tmp_test: 0.7299, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 27, Runtime: 0.0513, Loss: 0.360, forward nfe 583, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7176, tmp_test: 0.7228, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 28, Runtime: 0.0487, Loss: 0.341, forward nfe 605, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6985, tmp_test: 0.7015, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 29, Runtime: 0.0490, Loss: 0.307, forward nfe 627, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6750, tmp_test: 0.6812, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 30, Runtime: 0.0494, Loss: 0.352, forward nfe 649, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6515, tmp_test: 0.6528, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 31, Runtime: 0.0464, Loss: 0.440, forward nfe 671, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6596, tmp_test: 0.6721, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 32, Runtime: 0.0456, Loss: 0.437, forward nfe 693, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.7140, tmp_test: 0.7147, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 33, Runtime: 0.0468, Loss: 0.274, forward nfe 715, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.7368, tmp_test: 0.7421, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 34, Runtime: 0.0448, Loss: 0.303, forward nfe 737, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7243, tmp_test: 0.7107, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 35, Runtime: 0.0469, Loss: 0.441, forward nfe 759, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6691, tmp_test: 0.6843, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 36, Runtime: 0.0462, Loss: 0.516, forward nfe 781, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6669, tmp_test: 0.6701, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
